id,logged_at,market,symbol,exchange_code,action_bias,action_reason,price,pnl_pct,holding_qty,rsi14,volume_ratio,intraday_momentum,intraday_bar_return,minute_ma_fast,minute_ma_slow,activity_score,cycle_no,realized_pnl_usd,realized_pnl_krw,session_id,strategy_flag,entry_by,is_session_trade
13786,2026-07-06T06:24:47.392536+00:00,overseas,SQQQ,NASD,HOLD,vr=1.3x mom=-0.23%,39.95,0.0,594,36.522020283479236,1.2815919749869724,-0.002262443438914113,6.551197609319447e-05,39.72046666666667,39.70215238095238,114.9286,1314,,,1d30606ac920,VWAP,VWAP,1
13787,2026-07-06T06:24:49.604338+00:00,domestic,023410,,WAIT,trend_down,4005.0,,0,64.05834363421427,1.8358079845332418,0.02038216560509554,0.012642225031605562,3930.5555555555557,3894.285714285714,110.9349,1314,,,1d30606ac920,,,1
13788,2026-07-06T06:24:52.719736+00:00,domestic,010170,,BUY,[VWAP] volume_low,11350.0,,0,50.93002947012471,1.0848493801347683,-0.0008802816901408451,0.0008818342151675485,11361.111111111111,11373.333333333334,105.7692,1314,,,1d30606ac920,VWAP,VWAP,1
13789,2026-07-06T06:24:52.776344+00:00,overseas,HOOD,NASD,HOLD,vr=0.9x mom=+0.18%,112.73,0.0,210,50.70936541373739,0.9415684580736718,0.001788908765652977,0.0013410818059902162,111.87756666666667,111.80526666666667,86.146,1314,,,1d30606ac920,VWAP,VWAP,1
13790,2026-07-06T06:24:52.781934+00:00,overseas,LYFT,NASD,HOLD,vr=0.1x mom=-0.39%,15.37,0.0,1545,50.63683012108378,0.08427504309519249,-0.00389722769829335,-0.0007831875734237488,15.340466666666666,15.32387142857143,80.3908,1314,,,1d30606ac920,VWAP,VWAP,1
13791,2026-07-06T06:24:52.786787+00:00,overseas,PYPL,NASD,HOLD,vr=1.8x mom=-0.08%,45.47,0.0,521,57.3435780014864,1.7575150300601203,-0.0007658450704224704,0.00011453744493396679,45.41343333333334,45.42290952380953,75.3749,1314,,,1d30606ac920,VWAP,VWAP,1
13792,2026-07-06T06:24:52.791640+00:00,overseas,GT,NASD,HOLD,vr=8.4x mom=+0.00%,6.59,0.0,3595,66.59963863648906,8.44872349632194,0.0,0.0015151515151516175,6.587666666666667,6.587609523809523,64.6594,1314,,,1d30606ac920,VOL,VOL,1
13793,2026-07-06T06:24:52.796286+00:00,overseas,CRESY,NASD,HOLD,vr=0.1x mom=+1.09%,11.01,0.0,2152,52.56622533721089,0.06615069127472382,0.010948905109488979,0.0,11.01,10.985238095238095,48.7707,1314,,,1d30606ac920,VWAP,VWAP,1
13794,2026-07-06T06:27:54.216137+00:00,overseas,AAPL,NASD,HOLD,vr=0.8x mom=+0.07%,308.63,0.0032213080916268268,32,54.12105428242886,0.8352534562211982,0.0006679972540413527,0.0004563736620174543,308.17453333333333,308.1194619047619,104.5042,1315,,,1d30606ac920,VWAP,VWAP,1
13795,2026-07-06T06:27:54.222478+00:00,overseas,NFLX,NASD,HOLD,vr=1.8x mom=+0.15%,77.65,-0.007058643001457667,78,48.57797700321159,1.795935296557445,0.0015473887814313934,0.0009020618556701983,77.55696666666667,77.51143809523809,100.7655,1315,,,1d30606ac920,VWAP+RSI,VWAP,1
