id,logged_at,market,symbol,exchange_code,action_bias,action_reason,price,pnl_pct,holding_qty,rsi14,volume_ratio,intraday_momentum,intraday_bar_return,minute_ma_fast,minute_ma_slow,activity_score,cycle_no,realized_pnl_usd,realized_pnl_krw,session_id,strategy_flag,entry_by,is_session_trade,vwap,macd_line,macd_signal,macd_golden,breakout_distance_pct,atr,spread_pct,consecutive_losses,hold_cycles
21620,2026-07-06T16:22:35.119761+00:00,overseas,PFE,NYSE,SELL,atr_hard_stop,23.75,-0.024720762155059146,421,19.074324406830357,0.3411325964720129,-0.0008833216258165802,0.0008595807437058313,23.761577777777777,23.73115238095238,-420.5588,31,,,246ec46763ea,VWAP+VOL+RSI,VWAP,1,,,,,,,,,
21621,2026-07-06T16:22:35.129524+00:00,overseas,NKE,NYSE,SELL,atr_hard_stop,42.905,-0.018865767207866358,90,28.916983885886097,0.3123046515073225,0.004799812690236439,0.0009329446064139743,42.73332222222222,42.512680952380954,-493.0572,31,,,246ec46763ea,VWAP+VOL+RSI,VWAP,1,,,,,,,,,
21622,2026-07-06T16:22:35.139261+00:00,overseas,LWAY,NASD,SELL,momentum_loss_cut,29.955,-0.005445067897340598,942,45.28793974372217,6.274694261523989,-0.0038244097106751576,0.0011697860962565703,30.063333333333333,30.179285714285715,-600.0691,31,,,246ec46763ea,VOL,VOL,1,,,,,,,,,
21623,2026-07-06T16:22:35.148593+00:00,overseas,EH,NASD,WAIT,volume_low,5.8,,0,34.660022488928675,0.21977233594796247,-0.00514579759862783,0.0017271157167529857,5.823888888888889,5.780833333333333,-1576.4845,31,,,246ec46763ea,RSI,RSI,1,,,,,,,,,
21624,2026-07-06T16:22:35.157534+00:00,overseas,SOLS,NASD,WAIT,volume_low,68.09,,0,25.405736823160538,0.46833782245300304,-0.008302986161689837,-0.0029291154071470833,68.58833333333332,68.8999761904762,-2974.459,31,,,246ec46763ea,VOL+RSI,,1,,,,,,,,,
21625,2026-07-06T16:23:00.969414+00:00,overseas,V,NYSE,SELL,atr_hard_stop,355.59,-0.012496875781054738,20,36.10055000686814,0.4033384477011798,0.004179374223427138,0.0007218367579539708,354.42705555555557,354.1257619047619,-321.4031,32,,,246ec46763ea,VWAP,VWAP,1,,,,,,,,,
21626,2026-07-06T16:23:00.980186+00:00,overseas,KO,NYSE,SELL,atr_hard_stop,82.47,-0.014871886758645458,87,40.19603813843415,1.0670553012181792,0.0013962241243247629,6.062443164607049e-05,82.51014444444444,82.65387142857142,-352.884,32,,,246ec46763ea,VWAP+VOL+RSI,VWAP,1,,,,,,,,,
21627,2026-07-06T16:23:00.989768+00:00,overseas,ABBV,NYSE,SELL,atr_hard_stop,255.61,-0.021063919420933705,29,33.57053950972721,0.26010399932358164,0.0008614276205020843,0.0003326484688386966,255.46323333333333,255.79614285714285,-379.3217,32,,,246ec46763ea,VWAP+VOL+RSI,VWAP,1,,,,,,,,,
21628,2026-07-06T16:23:01.000597+00:00,overseas,PFE,NYSE,SELL,atr_hard_stop,23.755,-0.024515440210249723,421,19.074324406830357,0.3411325964720129,-0.0008833216258165802,0.0008595807437058313,23.761577777777777,23.73115238095238,-416.5494,32,,,246ec46763ea,VWAP+VOL+RSI,VWAP,1,,,,,,,,,
21629,2026-07-06T16:23:01.009792+00:00,overseas,NKE,NYSE,SELL,atr_hard_stop,42.92,-0.01852275325863241,90,28.916983885886097,0.3123046515073225,0.004799812690236439,0.0009329446064139743,42.73332222222222,42.512680952380954,-485.0533,32,,,246ec46763ea,VWAP+VOL+RSI,VWAP,1,,,,,,,,,
21630,2026-07-06T16:23:01.018848+00:00,overseas,LWAY,NASD,SELL,momentum_loss_cut,29.955,-0.005445067897340598,942,45.28793974372217,6.274694261523989,-0.0038244097106751576,0.0011697860962565703,30.063333333333333,30.179285714285715,-600.0687,32,,,246ec46763ea,VOL,VOL,1,,,,,,,,,
21631,2026-07-06T16:23:01.027955+00:00,overseas,EH,NASD,WAIT,volume_low,5.8,,0,34.660022488928675,0.21977233594796247,-0.00514579759862783,0.0017271157167529857,5.823888888888889,5.780833333333333,-1576.4845,32,,,246ec46763ea,RSI,RSI,1,,,,,,,,,
21632,2026-07-06T16:23:01.036468+00:00,overseas,SOLS,NASD,WAIT,volume_low,68.1,,0,25.405736823160538,0.46833782245300304,-0.008302986161689837,-0.0029291154071470833,68.58833333333332,68.8999761904762,-2972.4548,32,,,246ec46763ea,VOL+RSI,,1,,,,,,,,,
21633,2026-07-06T16:23:46.599126+00:00,overseas,V,NYSE,SELL,atr_hard_stop,355.66,-0.012302479935571525,20,36.13940920421769,0.4925929844981747,0.004362927821077646,0.00090475835353683,354.43427777777777,354.12885714285716,-317.401,33,,,246ec46763ea,VWAP,VWAP,1,,,,,,,,,
21634,2026-07-06T16:23:46.610303+00:00,overseas,KO,NYSE,SELL,atr_hard_stop,82.465,-0.01493161321149137,87,40.49186371415322,1.6470131639393604,0.0021246888848420005,0.0007881176113975379,82.51681111111111,82.65672857142856,-354.8822,33,,,246ec46763ea,VWAP+VOL+RSI,VWAP,1,,,,,,,,,
21635,2026-07-06T16:23:46.619821+00:00,overseas,ABBV,NYSE,SELL,atr_hard_stop,255.605,-0.02108306843858919,29,33.61229910023678,0.33944223669005946,0.0009788950232977017,0.00045005381078164826,255.46656666666664,255.79757142857142,-379.3187,33,,,246ec46763ea,VWAP+VOL+RSI,VWAP,1,,,,,,,,,
